Label	logFC	FDR
 ANKRD53 	-0.0745198	7.54E-06
 ANKRD54 	0.0966722	2.79E-02
 ANKRD55 	-0.0038109	7.74E-01
 ANKRD6 	0.0678395	1.43E-01
 ANKRD60 	-0.0452515	2.23E-02
 ANKRD7 	0.0049073	6.29E-01
 ANKRD9 	0.0409004	6.50E-01
 ANKS1A 	0.2424766	5.37E-05
 ANKS1B 	-0.0217098	2.63E-04
 ANKS3 	0.0150728	4.65E-01
 ANKS4B 	0.7543233	1.00E-04
 ANKS6 	0.3330701	1.37E-06
 ANKZF1 	0.1936559	6.99E-03
 ANLN 	1.1703933	5.13E-09
 ANO1 	0.5079928	8.62E-03
 ANO10 	0.2006689	8.55E-02
 ANO2 	-0.0250885	1.73E-03
 ANO3 	0.0012622	8.81E-01
 ANO4 	-0.0122116	3.67E-02
 ANO5 	-0.0749453	2.50E-01
 ANO7 	-0.4589803	1.78E-06
 ANP32A 	0.1258367	2.43E-01
 ANP32B 	0.678669	2.76E-05
 ANP32C 	-0.0000905	9.96E-01
 ANP32D 	-0.0104843	5.67E-01
 ANP32E 	0.5733377	2.75E-08
 ANPEP 	0.2070312	7.74E-01
 ANTXR1 	0.6966404	1.32E-06
 ANTXR2 	0.4147404	6.72E-04
 ANUBL1 	0.1055072	1.40E-02
 ANXA1 	1.4241426	4.84E-07
 ANXA10 	-2.0468313	6.10E-07
 ANXA11 	0.3586961	1.46E-03
 ANXA13 	0.9796602	5.99E-03
 ANXA2 	1.1658496	1.07E-08
 ANXA2P1 	0.1822692	1.58E-04
 ANXA2P2 	1.1916929	1.38E-08
 ANXA2P3 	0.0499343	1.18E-03
 ANXA3 	0.2294791	2.25E-01
 ANXA4 	1.2297381	2.51E-08
 ANXA5 	0.6250713	7.33E-04
 ANXA6 	0.249535	7.77E-02
 ANXA7 	0.6587764	9.22E-06
 ANXA9 	0.2956457	8.52E-05
 AOAH 	0.1643138	2.35E-01
 AOC2 	-0.0013195	9.32E-01
 AOC3 	0.1132911	1.53E-01
 AOX1 	0.0319823	1.93E-01
 AP1AR 	0.2435871	2.54E-06
 AP1B1 	0.076859	3.65E-01
 AP1G1 	0.0112353	9.15E-01
 AP1G2 	0.1440356	1.38E-01
 AP1M1 	0.3038802	1.30E-05
 AP1M2 	0.1908168	1.11E-01
 AP1S1 	0.9483087	1.36E-08
 AP1S2 	0.0551763	2.77E-02
 AP1S3 	0.2055093	5.46E-04
 AP2A1 	0.3129624	4.22E-06
 AP2A2 	0.4228432	6.84E-08
 AP2B1 	0.6476955	8.50E-08
 AP2M1 	0.7722935	7.97E-08
 AP2S1 	0.7271417	9.88E-08
 AP3B1 	0.1695772	3.23E-02
 AP3B2 	-0.0173945	3.44E-02
 AP3D1 	0.0574938	4.77E-01
 AP3M1 	0.4125919	5.12E-03
 AP3M2 	0.5465244	6.54E-10
 AP3S1 	0.2906078	1.35E-03
 AP3S2 	0.3306635	1.91E-03
 AP4B1 	0.2757436	1.73E-03
 AP4E1 	0.0733367	9.12E-05
 AP4M1 	0.420158	2.57E-06
 AP4S1 	0.0089096	5.24E-01
 APAF1 	0.3467639	5.16E-08
 APBA1 	-0.0108376	5.83E-01
 APBA2 	-0.0165243	4.94E-01
 APBA3 	-0.0139245	6.53E-01
 APBB1 	-0.0460791	2.56E-01
 APBB1IP 	0.0681264	3.40E-01
 APBB2 	0.1442694	1.35E-01
 APBB3 	-0.1214748	6.11E-02
 APC 	0.0976584	3.77E-04
 APC2 	-0.0737736	1.05E-03
 APCDD1 	-0.0164449	9.23E-01
 APCDD1L 	-0.0892879	7.37E-05
 APCS 	-0.0094991	4.20E-01
 APEH 	0.2261418	1.96E-02
 APEX1 	0.3230271	2.39E-02
 APEX2 	0.5087587	4.38E-07
 APH1A 	0.5492861	2.24E-05
 APH1B 	0.1606762	1.02E-02
 API5 	0.4745109	2.85E-05
 APIP 	0.369418	1.66E-01
 APITD1 	0.1147608	7.13E-03
 APLF 	0.0122672	5.52E-01
 APLN 	0.00351	8.78E-01
 APLNR 	0.1735955	5.43E-03
 APLP1 	-0.9133422	3.01E-07
 APLP2 	0.5288363	3.49E-05
 APOA1 	-0.2246369	6.19E-01
 APOA1BP 	0.5927682	6.66E-06
 APOA2 	0.2376016	3.39E-01
 APOA4 	-0.3011916	4.14E-01
 APOA5 	-0.0227931	1.30E-01
 APOB 	-0.2697674	5.29E-01
 APOB48R 	0.0421329	3.27E-01
 APOBEC1 	-0.1032294	2.37E-01
 APOBEC2 	-0.5705202	4.28E-05
 APOBEC3A 	0.0430618	4.17E-02
 APOBEC3B 	0.6918281	2.06E-05
 APOBEC3C 	-0.0319248	7.61E-01
 APOBEC3D 	-0.0461421	4.70E-01
 APOBEC3F 	0.0152948	7.19E-01
 APOBEC3G 	0.0869638	2.48E-01
 APOBEC3H 	-0.0194975	5.60E-01
 APOBEC4 	-0.0067425	6.85E-01
 APOC1P1 	-0.0244236	5.50E-01
 APOC2 	0.3763596	1.20E-03
 APOC3 	-0.1160904	7.40E-01
 APOC4 	-0.2004291	1.40E-03
 APOD 	0.260215	6.04E-01
 APOE 	1.471596	1.38E-05
 APOF 	0.0096788	5.53E-01
 APOH 	0.0806352	7.25E-01
 APOL1 	0.3897862	3.84E-02
 APOL2 	0.0476959	3.76E-01
 APOL3 	0.0404623	3.52E-01
 APOL4 	0.1101771	7.52E-03
 APOL5 	-0.0749366	6.18E-03
 APOL6 	0.1650642	2.93E-02
 APOLD1 	-0.0985425	4.59E-01
 APOM 	0.0927121	4.32E-01
 APOO 	0.1848738	1.26E-01
 APOOL 	0.1696173	7.63E-02
 APP 	0.4883548	4.13E-03
 APPBP2 	0.1628892	2.71E-02
 APPL1 	0.1914249	3.04E-02
 APPL2 	0.0992772	3.40E-01
 APRT 	0.1724505	1.12E-01
 APTX 	0.3226417	2.78E-04
 AQP1 	1.346939	1.35E-05
 AQP10 	-0.0737023	2.49E-01
 AQP11 	-0.0729263	1.51E-01
 AQP2 	-0.0999866	1.66E-04
 AQP3 	-0.220448	2.78E-01
 AQP4 	-1.3707859	3.97E-06
 AQP5 	-0.1239258	6.81E-01
 AQP6 	-0.0137116	2.69E-01
 AQP7 	-0.013347	9.06E-01
 AQP8 	-0.0251798	1.34E-01
 AQP9 	0.0612416	1.08E-01
 AQPEP 	-0.0030666	5.79E-01
 AQR 	0.226706	7.71E-06
 AR 	-0.0713471	3.83E-06
 ARAF 	-0.0713941	4.34E-01
 ARAP1 	0.2029575	6.30E-03
 ARAP2 	0.1365505	4.95E-02
 ARAP3 	0.1726409	1.80E-04
 ARCN1 	0.259185	1.07E-03
 AREG 	0.5875551	3.37E-02
 ARF1 	0.4770514	2.70E-05
 ARF3 	0.2784284	2.01E-05
 ARF4 	0.5174116	1.43E-03
 ARF5 	0.342447	5.18E-04
 ARF6 	0.2243595	1.21E-02
 ARFGAP1 	0.2811412	3.67E-06
 ARFGAP2 	0.2281733	1.07E-03
 ARFGAP3 	-0.1333006	2.85E-01
 ARFGEF1 	0.3994213	8.86E-06
 ARFGEF2 	0.1905199	3.18E-02
 ARFIP1 	0.2243669	2.25E-02
 ARFIP2 	-0.0896962	2.50E-01
 ARFRP1 	0.2627051	1.48E-03
 ARG1 	-0.0099319	1.28E-01
 ARG2 	0.1159493	1.55E-02
 ARGLU1 	0.3554025	2.27E-02
 ARHGAP1 	0.4436494	1.04E-06
 ARHGAP10 	-0.0961176	1.01E-01
 ARHGAP11A 	0.7546449	5.35E-08
 ARHGAP12 	0.2511716	3.72E-03
 ARHGAP15 	0.207929	1.80E-01
 ARHGAP17 	0.1770778	1.02E-03
 ARHGAP18 	-0.0519236	6.72E-01
 ARHGAP19 	0.1841452	7.49E-04
 ARHGAP20 	-0.0356547	5.29E-05
 ARHGAP21 	0.122083	4.17E-01
 ARHGAP22 	0.0161158	1.74E-01
 ARHGAP24 	-0.4936272	1.76E-04
 ARHGAP25 	0.0722056	4.25E-01
 ARHGAP26 	0.2871388	1.54E-03
 ARHGAP27 	0.1652275	7.29E-04
 ARHGAP28 	-0.0185774	5.37E-01
 ARHGAP29 	0.0792507	3.51E-01
 ARHGAP30 	0.0186021	8.19E-01
 ARHGAP32 	0.3091695	3.11E-02
 ARHGAP33 	-0.0590482	1.53E-02
 ARHGAP36 	-0.0158665	1.10E-02
 ARHGAP4 	0.1706291	4.26E-02
 ARHGAP42 	0.0067605	9.33E-01
 ARHGAP44 	-0.019321	7.19E-01
 ARHGAP5 	0.3040115	8.47E-03
 ARHGAP6 	0.026461	3.90E-01
 ARHGAP9 	-0.0419716	3.80E-01
 ARHGDIA 	-0.1049456	1.80E-01
 ARHGDIB 	0.5882003	1.26E-02
 ARHGDIG 	-0.3773535	1.49E-05
 ARHGEF1 	0.2253112	7.37E-03
 ARHGEF10 	-0.0439649	4.41E-02
 ARHGEF10L 	0.1662375	5.91E-02
 ARHGEF11 	0.1563053	2.40E-02
 ARHGEF12 	0.1425616	8.08E-02
 ARHGEF15 	-0.0446523	4.51E-02
 ARHGEF16 	0.1634175	2.61E-02
 ARHGEF17 	0.11129	2.25E-02
 ARHGEF18 	0.0402393	5.62E-01
 ARHGEF19 	0.0512952	2.77E-01
 ARHGEF2 	0.3061921	1.82E-05
 ARHGEF25 	0.081977	4.60E-02
 ARHGEF26 	-0.0392159	4.78E-02
 ARHGEF3 	0.1852677	4.65E-03
 ARHGEF35 	0.3490021	5.03E-07
 ARHGEF37 	-0.4098912	5.10E-09
 ARHGEF38 	0.3715467	5.41E-04
 ARHGEF4 	0.0198394	5.97E-01
 ARHGEF40 	0.0597944	6.59E-02
 ARHGEF5 	0.3474471	2.17E-04
 ARHGEF6 	-0.0135591	8.88E-01
 ARHGEF7 	0.2835731	7.92E-05
 ARID1A 	-0.0428666	4.88E-01
 ARID1B 	0.2268677	4.40E-05
 ARID3A 	0.1443101	1.14E-01
 ARID3B 	0.0166782	4.98E-01
 ARID4A 	0.0485064	1.62E-01
 ARID4B 	0.1221964	1.45E-03
 ARID5A 	-0.0345042	4.30E-01
 ARIH1 	0.2522874	3.65E-04
 ARIH2 	0.3124445	4.59E-05
 ARL1 	0.2166732	4.84E-02
 ARL10 	-0.06692	2.89E-03
 ARL11 	0.0195723	2.13E-01
 ARL13B 	0.2010804	2.14E-07
 ARL14 	0.0374713	9.02E-01
 ARL15 	0.1629095	3.05E-03
 ARL17A 	0.0285013	3.75E-01
 ARL2BP 	0.334738	1.41E-03
 ARL3 	0.0864601	2.07E-01
 ARL4A 	0.0788204	1.54E-01
 ARL4C 	0.3184633	3.73E-04
 ARL4D 	-0.0132297	5.24E-01
 ARL5B 	0.569945	2.01E-06
 ARL6 	0.0430965	6.29E-03
 ARL6IP1 	1.2520452	6.33E-08
 ARL6IP4 	0.0471069	5.64E-01
 ARL6IP5 	0.428266	5.28E-03
 ARL6IP6 	0.3185022	2.40E-05
 ARL8A 	0.4257473	4.62E-06
 ARL8B 	0.4873723	1.94E-05
 ARL9 	0.030438	3.07E-01
 ARMC1 	0.5240432	1.11E-06
 ARMC10 	0.3006708	6.11E-04
 ARMC2 	0.1316447	1.45E-01
 ARMC3 	-0.0015419	8.42E-01
 ARMC4 	-0.0077332	1.69E-01
 ARMC5 	-0.0692371	1.25E-02
 ARMC6 	0.3884108	1.41E-07
 ARMC7 	0.0870835	1.12E-01
 ARMC8 	0.3706801	4.82E-06
 ARMC9 	0.2264456	2.23E-06
 ARMCX1 	-0.0993372	9.25E-02
 ARMCX2 	-0.0603357	3.03E-03
 ARMCX3 	0.0254428	8.70E-01
 ARMCX4 	0.0062472	8.50E-01
 ARMCX5 	0.060946	2.04E-02
 ARMCX6 	0.1565548	3.70E-02
 ARNT 	0.2930494	7.05E-04
 ARNT2 	-0.0307458	7.02E-01
 ARNTL 	0.1075951	1.63E-02
 ARNTL2 	0.2539292	1.93E-03
 ARPC1A 	0.7332104	2.19E-03
 ARPC1B 	1.8322405	2.90E-12
 ARPC2 	0.5286578	5.49E-04
 ARPC5 	0.5457235	1.15E-09
 ARPC5L 	0.5230218	7.54E-06
 ARPM1 	0.033401	5.26E-01
 ARPP19 	0.4404486	6.80E-05
 ARPP21 	-0.0054201	3.74E-01
 ARR3 	-0.0140019	4.39E-02
 ARRB1 	0.0891684	5.37E-01
 ARRB2 	0.2598941	2.27E-04
 ARRDC1 	0.5218342	1.78E-05
 ARRDC2 	0.123379	8.22E-02
 ARRDC3 	0.2521614	5.21E-02
 ARRDC4 	-0.2987495	6.25E-04
 ARSA 	-0.0627833	5.04E-01
 ARSB 	0.0363683	2.88E-01
 ARSD 	-0.4399317	1.56E-03
 ARSE 	0.7021114	2.97E-04
 ARSF 	-0.0144062	1.04E-01
 ARSG 	-0.0908424	2.66E-06
 ARSJ 	-0.0164068	7.20E-01
 ARSK 	-0.0219419	4.20E-01
 ART1 	-0.0635061	1.16E-02
 ART3 	0.0247557	1.95E-01
 ART4 	0.0383754	2.84E-01
 ART5 	0.005722	8.01E-01
 ARTN 	-0.0603669	8.86E-03
 ARV1 	0.1169863	2.53E-01
 ARVCF 	-0.0177429	5.75E-01
 ARVP6125 	-0.0187025	3.55E-01
 ARX 	-0.1722322	1.08E-04
 AS3MT 	0.017794	5.42E-01
 ASAH1 	0.714367	6.20E-08
 ASAH2 	-0.8761406	5.27E-05
 ASAM 	-0.0177579	6.97E-01
 ASAP1 	0.3520822	1.17E-06
 ASAP1-IT 	-0.0084075	5.78E-01
 ASAP2 	0.3220099	9.57E-04
 ASAP3 	-0.2065542	8.52E-06
 ASB1 	0.181366	5.48E-04
 ASB10 	-0.0273163	4.96E-02
 ASB11 	-0.7278016	1.17E-05
 ASB12 	-0.0010123	9.46E-01
 ASB13 	0.34281	1.23E-03
 ASB14 	0.0017674	8.36E-01
 ASB15 	-0.0037485	6.22E-01
 ASB16 	-0.1408752	6.92E-05
 ASB17 	-0.0084002	2.56E-01
 ASB18 	-0.0459033	9.07E-03
 ASB2 	-0.0463685	4.35E-02
 ASB3 	0.192484	2.61E-03
 ASB4 	0.079388	2.21E-01
 ASB5 	-0.0086405	3.28E-01
 ASB6 	0.1798561	1.84E-06
 ASB7 	0.1137833	1.90E-04
 ASB8 	-0.0052244	9.15E-01
 ASB9P1 	-0.0725996	3.03E-01
 ASCC1 	0.3623123	1.09E-04
 ASCC2 	-0.1169991	5.72E-02
 ASCC3 	0.5479062	8.31E-08
 ASCL1 	-0.0720993	1.03E-04
 ASCL2 	0.4716618	5.65E-03
 ASCL3 	0.0094307	5.44E-01
 ASCL4 	-0.015096	3.69E-01
 ASF1A 	0.4144155	2.26E-03
 ASF1B 	1.0948638	2.27E-08
 ASGR1 	0.0682321	5.24E-01
 ASGR2 	0.0783531	4.93E-01
 ASH1L 	0.2914164	1.65E-03
 ASH2L 	0.1990596	7.69E-02
 ASIP 	-0.0199112	3.68E-01
 ASL 	0.3494906	1.21E-03
 ASNA1 	0.4354494	1.00E-05
 ASNS 	0.0027885	9.90E-01
 ASNSD1 	0.2923734	2.33E-06
 ASPA 	-0.0966567	1.42E-03
 ASPDH 	-0.0594064	1.19E-03
 ASPH 	0.300796	2.34E-02
 ASPHD1 	-0.006313	9.61E-01
 ASPHD2 	-0.0694388	5.32E-01
 ASPM 	0.4447498	2.27E-08
 ASPN 	1.2303045	2.13E-08
 ASPRV1 	-0.0095178	6.23E-01
 ASPSCR1 	0.0129788	8.74E-01
 ASRGL1 	-0.0478506	7.49E-01
 ASTE1 	0.1618975	2.14E-04
 ASTL 	-0.0311017	2.55E-02
 ASTN1 	-0.023457	5.72E-03
 ASTN2 	-0.1552846	5.99E-07
 ASXL1 	0.4745568	7.54E-07
 ASXL2 	0.3136994	2.52E-07
 ASZ1 	-0.0034154	5.76E-01
 ATAD1 	0.307923	2.69E-03
 ATAD2 	0.6318609	4.47E-08
 ATAD2B 	0.0029403	8.84E-01
 ATAD3A 	0.025357	6.67E-01
 ATAD3C 	0.0135908	7.73E-01
 ATAD5 	0.2777844	2.87E-07
 ATAT1 	0.1344781	7.66E-05
 ATCAY 	-0.024405	6.63E-03
 ATE1 	0.4102363	6.32E-08
 ATF1 	0.0928912	1.27E-01
 ATF2 	0.2549154	3.97E-03
 ATF3 	-0.0023978	9.90E-01
 ATF4 	-0.131463	1.34E-02
 ATF5 	0.0550341	2.57E-01
 ATF6 	0.441097	3.66E-05
 ATF7 	0.0890646	1.68E-01
 ATF7IP 	0.1776904	3.14E-03
 ATF7IP2 	0.1708616	2.84E-02
 ATG10 	0.1036243	6.71E-02
 ATG12 	0.1688085	1.22E-04
 ATG13 	0.1201636	1.23E-01
 ATG14 	0.190036	1.05E-02
 ATG16L1 	0.3517035	4.05E-07
 ATG2B 	0.0293902	6.72E-01
 ATG3 	0.4095223	8.80E-05
 ATG4A 	-0.1189673	1.76E-01
 ATG4C 	0.0430784	3.92E-01
 ATG4D 	-0.0559305	3.68E-01
 ATG5 	0.578613	1.31E-06
 ATG7 	0.2380157	1.43E-04
 ATG9A 	0.3567247	3.04E-05
 ATG9B 	-0.0353301	2.24E-02
 ATHL1 	0.4381025	1.66E-03
 ATIC 	1.0650462	6.39E-09
 ATL1 	0.0129007	5.14E-01
 ATL2 	0.519434	1.34E-06
 ATL3 	0.3149845	5.28E-05
 ATM 	0.0434468	6.14E-01
 ATMIN 	0.1787914	2.21E-02
 ATN1 	-0.0103875	8.77E-01
 ATOH1 	0.0337281	8.71E-01
 ATOH7 	-0.0676659	1.40E-02
 ATOH8 	-0.1799643	4.21E-08
 ATOX1 	0.5900911	1.11E-05
 ATP10A 	0.0573884	3.62E-02
 ATP10B 	0.8705411	9.68E-04
 ATP10D 	-0.0345702	6.20E-01
 ATP11B 	-0.0567149	4.81E-01
 ATP11C 	0.1865297	7.53E-03
 ATP12A 	0.016341	6.43E-01
 ATP13A1 	0.3630684	3.01E-06
 ATP13A2 	0.3180968	3.09E-04
 ATP13A3 	0.6887565	2.18E-08
 ATP13A4 	-0.3199144	5.92E-05
 ATP13A5 	-0.0731643	3.14E-02
 ATP1A1 	0.9500288	4.13E-06
 ATP1A2 	-0.0499162	3.19E-04
 ATP1A3 	0.0171609	5.11E-01
 ATP1A4 	-0.0162494	6.54E-03
 ATP1B1 	0.0106512	9.58E-01
 ATP1B2 	-0.0316525	1.32E-01
 ATP1B3 	1.3928394	4.23E-10
 ATP1B4 	-0.0042347	5.49E-01
 ATP2A1 	0.0026592	8.21E-01
 ATP2A2 	0.6821756	2.90E-07
 ATP2A3 	-0.500974	3.72E-04
 ATP2B1 	0.3193324	4.76E-03
 ATP2B2 	-0.033317	2.47E-03
 ATP2B3 	-0.0412388	3.73E-03
 ATP2B4 	0.4449678	1.49E-04
 ATP2C1 	0.6687277	2.65E-08
 ATP2C2 	0.431822	5.43E-03
 ATP4A 	-4.3456388	3.76E-13
 ATP4B 	-4.4617166	7.68E-13
 ATP5A1 	-0.3001249	2.03E-02
 ATP5B 	0.1348809	2.32E-01
 ATP5C1 	0.2032488	1.49E-01
 ATP5D 	-0.195738	8.23E-02
 ATP5E 	0.3052868	2.24E-03
 ATP5F1 	0.0136489	8.00E-01
 ATP5G1 	0.2152769	2.01E-01
 ATP5G2 	-0.0479854	3.83E-01
 ATP5G3 	0.1388718	3.33E-01
 ATP5H 	-0.0895375	4.09E-01
 ATP5I 	0.2043128	1.39E-01
 ATP5J 	-0.0648369	1.83E-01
 ATP5L 	0.1795514	3.60E-01
 ATP5L2 	-0.0014961	9.54E-01
 ATP5O 	0.0318783	7.94E-01
 ATP5S 	-0.0040991	8.70E-01
 ATP5SL 	0.0833242	3.72E-01
 ATP6AP1 	0.4722203	5.36E-04
 ATP6AP2 	0.9773064	1.12E-10
 ATP6V0A1 	-0.0030913	9.37E-01
 ATP6V0A2 	-0.1267639	1.41E-01
 ATP6V0A4 	-0.0103769	3.38E-01
 ATP6V0B 	0.4677649	1.21E-03
 ATP6V0D1 	0.1423496	2.33E-01
 ATP6V0D2 	0.0395276	9.48E-03
 ATP6V0E1 	0.3445034	1.21E-02
 ATP6V0E2 	-0.1026338	1.74E-02
 ATP6V1A 	0.2270849	5.82E-04
 ATP6V1B1 	-0.0628555	8.12E-03
 ATP6V1B2 	0.8421862	9.97E-11
 ATP6V1C1 	0.826169	6.69E-10
 ATP6V1C2 	0.0874014	4.25E-03
 ATP6V1D 	0.2613062	8.41E-02
 ATP6V1E1 	0.4784816	6.98E-06
 ATP6V1E2 	0.0726405	1.62E-02
 ATP6V1F 	0.3793292	1.10E-04
 ATP6V1G1 	-0.0414224	7.37E-01
 ATP6V1G3 	-0.0082198	2.83E-01
 ATP6V1H 	0.273681	3.30E-03
 ATP7A 	0.0130502	8.33E-01
 ATP7B 	0.202514	1.06E-01
 ATP8A1 	-0.519237	2.08E-05
 ATP8A2 	-0.0427666	1.64E-05
 ATP8B1 	-0.5593584	3.02E-05
 ATP8B2 	0.061278	3.97E-01
 ATP8B3 	-0.0341164	1.27E-02
 ATP8B4 	0.024654	9.86E-02
 ATP9B 	-0.0369611	3.94E-01
 ATPAF2 	-0.0474566	4.53E-01
 ATPBD4 	0.182864	1.05E-04
 ATPIF1 	0.2045706	1.58E-02
 ATR 	0.3595262	2.07E-07
 ATRIP 	0.0725789	2.20E-03
 ATRN 	-0.3012832	3.60E-02
 ATRNL1 	0.0006122	9.59E-01
 ATRX 	0.1009139	9.43E-03
 ATXN1 	-0.0635865	2.32E-01
 ATXN10 	0.4188653	4.88E-04
 ATXN2 	0.1782786	2.03E-03
 ATXN2L 	0.190928	9.61E-05
 ATXN3 	0.3616033	6.60E-05
 ATXN7 	0.0224662	7.41E-01
 ATXN7L1 	0.1557435	1.16E-04
 ATXN7L2 	-0.0294776	1.52E-01
 ATXN7L3B 	-0.2103248	1.70E-02
 AUH 	-0.2546658	2.99E-03
 AUP1 	0.2988984	1.60E-04
 AURKA 	0.7697946	3.07E-08
 AURKB 	1.0666796	2.57E-08
 AURKC 	-0.0040126	7.27E-01
 AUTS2 	-0.0089523	8.05E-01
 AVEN 	0.0328778	4.14E-01
 AVIL 	0.0021596	9.20E-01
 AVL9 	0.198935	6.05E-05
 AVP 	-0.0840925	6.29E-03
 AVPI1 	0.2632602	2.64E-02
 AVPR1A 	0.0009336	9.61E-01
 AVPR2 	-0.0105674	5.13E-01
 AWAT2 	-0.0243315	3.40E-03
 AXIN1 	0.2990339	2.96E-07
 AXIN2 	0.1707956	3.59E-01
 AXL 	0.2438784	2.89E-03
 AZGP1 	-2.168147	1.07E-07
 AZI2 	0.1192136	7.82E-02
 AZIN1 	0.6953006	6.84E-06
 AZU1 	-0.1672814	4.94E-04
 B2M 	0.1542002	2.60E-01
 B3GALNT1 	-0.0183914	8.30E-01
 B3GALNT2 	0.0887462	2.02E-01
 B3GALT1 	-0.0153218	4.62E-02
 B3GALT2 	-0.0061019	6.73E-01
 B3GALT4 	-0.0066222	9.37E-01
 B3GALT5 	-0.0269724	8.31E-01
 B3GALT6 	0.155291	4.53E-04
 B3GALTL 	-0.1672002	7.48E-02
 B3GAT1 	-0.50021	9.67E-08
 B3GAT2 	-0.0494964	1.43E-02
 B3GAT3 	0.4779038	3.87E-06
 B3GNT1 	0.0969857	1.63E-01
 B3GNT2 	0.4125335	6.66E-05
 B3GNT3 	-0.0790247	5.86E-01
 B3GNT4 	-0.0088619	5.47E-01
 B3GNT5 	0.5599536	2.42E-03
 B3GNT6 	-0.4388967	7.43E-07
 B3GNT7 	-0.3697964	4.60E-02
 B3GNT8 	0.0720543	4.78E-02
 B3GNT9 	0.0422208	2.60E-01
 B3GNTL1 	0.1240902	1.68E-03
 B4GALNT1 	-0.0444506	2.60E-03
 B4GALNT2 	-0.4738512	1.28E-06
 B4GALNT3 	-0.9306	4.46E-07
 B4GALNT4 	0.07196	1.64E-01
 B4GALT1 	-0.0124964	5.77E-01
 B4GALT2 	0.3951691	5.44E-05
 B4GALT3 	0.1849024	3.61E-02
 B4GALT4 	0.4297187	7.80E-04
 B4GALT5 	0.9484619	2.36E-10
 B4GALT6 	0.1034106	5.90E-02
 B4GALT7 	0.1371024	7.07E-04
 B9D1 	0.0499198	2.53E-01
 B9D2 	0.0252122	6.77E-01
 BAALC 	-0.0703158	6.02E-04
 BAAT 	0.0781782	6.43E-02
 BACE1 	0.0320374	5.76E-01
 BACE2 	0.0414482	8.20E-01
 BACH1 	0.211555	5.87E-03
 BACH2 	-0.0153822	6.06E-01
 BAD 	0.0129665	9.08E-01
 BAG1 	-0.0274574	8.25E-01
 BAG2 	0.4589685	6.20E-04
 BAG3 	0.1548971	3.30E-02
 BAG4 	0.3227886	2.70E-05
 BAG5 	0.284143	7.44E-05
 BAGE2 	0.0071608	6.20E-01
 BAHCC1 	0.0582267	4.50E-01
 BAHD1 	0.1909644	1.33E-04
 BAI1 	-0.1066159	2.53E-06
 BAI2 	-0.0236349	1.95E-01
 BAI3 	-0.0040435	6.29E-01
 BAIAP2 	-0.1369362	1.77E-02
 BAIAP2L1 	0.2610112	4.71E-02
 BAIAP2L2 	0.3645476	6.63E-03
 BAIAP3 	-0.1228604	1.15E-07
 BAK1 	0.5590436	4.98E-04
 BAMBI 	1.3808244	1.08E-05
 BANF1 	0.0818965	3.78E-02
 BANF2 	-0.0065629	7.12E-01
 BANK1 	0.0038389	9.79E-01
 BANP 	0.1324909	1.19E-03
 BAP1 	0.1645936	2.20E-03
 BARD1 	0.3162042	5.18E-07
 BARHL1 	-0.1223913	3.05E-05
 BARHL2 	-0.0749825	6.22E-05
 BARX1 	-0.0316564	8.39E-01
 BARX2 	-0.0161029	9.15E-01
 BASE 	-0.0095709	2.01E-01
 BASP1 	-0.1478245	5.09E-02
 BAT1 	0.1928187	1.01E-06
 BAT2 	0.3005289	3.06E-06
 BAT2L1 	0.2584274	7.01E-04
 BAT2L2 	0.5971052	1.65E-07
 BAT3 	0.322443	8.17E-04
 BAT4 	0.0808394	3.46E-01
 BAT5 	0.3528298	4.13E-06
 BATF 	0.247763	4.34E-03
 BATF2 	0.0610318	2.33E-01
 BATF3 	0.0463642	1.68E-01
 BAX 	0.6628972	2.99E-07
 BAZ1A 	0.3463556	3.00E-06
 BAZ1B 	0.5446824	2.88E-10
 BAZ2A 	0.1700908	2.16E-03
 BAZ2B 	0.0405824	5.88E-01
 BBC3 	-0.0642763	1.62E-01
 BBOX1 	0.0059532	3.40E-01
 BBS1 	-0.0357461	4.95E-01
 BBS10 	0.0412826	1.31E-01
 BBS12 	0.0467741	4.28E-02
 BBS2 	0.1581235	9.02E-02
 BBS4 	0.0238801	5.98E-01
 BBS5 	0.0481444	6.39E-03
 BBS7 	0.0660173	5.76E-03
 BBS9 	0.0336782	2.67E-01
 BBX 	0.2630994	2.39E-04
 BCAM 	0.049214	6.90E-01
 BCAN 	-0.054205	2.37E-03
 BCAP29 	0.5461998	2.05E-06
 BCAP31 	0.9915443	1.79E-07
 BCAR1 	-0.038978	6.01E-01
 BCAR3 	-0.0318865	6.75E-01
 BCAS1 	-0.7562464	1.12E-03
 BCAS3 	-0.1107804	1.05E-01
 BCAS4 	0.0436965	2.68E-01
 BCAT1 	0.1995437	1.31E-03
 BCAT2 	-0.2960116	7.90E-03
 BCCIP 	0.3122204	1.05E-03
 BCDIN3D 	-0.0048084	9.27E-01
 BCHE 	0.000549	9.48E-01
 BCKDHB 	-0.1623424	2.85E-01
 BCKDK 	-0.0023181	9.84E-01
 BCL10 	0.1432741	1.06E-02
 BCL11A 	0.1146077	4.80E-02
 BCL11B 	0.0343928	3.41E-01
 BCL2 	-0.0279163	6.16E-01
 BCL2A1 	0.2426502	9.19E-04
 BCL2L1 	0.6871468	6.57E-08
 BCL2L10 	-0.070171	3.07E-02
 BCL2L11 	0.1175696	4.15E-02
 BCL2L12 	0.3552763	7.09E-09
 BCL2L13 	0.0590995	1.55E-01
